v-sweep,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,5.868471999999999876e-05
9.817476999999999454e-02,5.000000000000000104e-03,9.817476999999999454e-02,5.873252000000000193e-05
1.963495000000000101e-01,5.000000000000000104e-03,1.963495000000000101e-01,5.887424000000000232e-05
2.945243000000000166e-01,5.000000000000000104e-03,2.945243000000000166e-01,5.910479000000000302e-05
3.926991000000000231e-01,5.000000000000000104e-03,3.926991000000000231e-01,5.941583999999999727e-05
4.908738999999999741e-01,5.000000000000000104e-03,4.908738999999999741e-01,5.979608000000000026e-05
5.890486000000000333e-01,5.000000000000000104e-03,5.890486000000000333e-01,6.023151000000000161e-05
6.872234000000000398e-01,5.000000000000000104e-03,6.872234000000000398e-01,6.070592999999999969e-05
7.853982000000000463e-01,5.000000000000000104e-03,7.853982000000000463e-01,6.120147000000000477e-05
8.835728999999999944e-01,5.000000000000000104e-03,8.835728999999999944e-01,6.169919000000000651e-05
9.817477000000000009e-01,5.000000000000000104e-03,9.817477000000000009e-01,6.217984999999999387e-05
1.079922000000000049e+00,5.000000000000000104e-03,1.079922000000000049e+00,6.262461000000000416e-05
1.178096999999999950e+00,5.000000000000000104e-03,1.178096999999999950e+00,6.301584999999999739e-05
1.276272000000000073e+00,5.000000000000000104e-03,1.276272000000000073e+00,6.333791000000000291e-05
1.374446999999999974e+00,5.000000000000000104e-03,1.374446999999999974e+00,6.357779000000000577e-05
1.472622000000000098e+00,5.000000000000000104e-03,1.472622000000000098e+00,6.372575000000000223e-05
1.570796000000000081e+00,5.000000000000000104e-03,1.570796000000000081e+00,6.377575000000000344e-05
