v-sweep,v(eps_s),v(g),vdd#branch
-1.199999999999999956e+00,0.000000000000000000e+00,-1.199999999999999956e+00,8.249391999999999706e-04
-1.149999999999999911e+00,0.000000000000000000e+00,-1.149999999999999911e+00,7.152264999999999665e-04
-1.100000000000000089e+00,0.000000000000000000e+00,-1.100000000000000089e+00,6.104211999999999486e-04
-1.050000000000000044e+00,0.000000000000000000e+00,-1.050000000000000044e+00,5.109802000000000311e-04
-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,4.173714000000000135e-04
-9.499999999999999556e-01,0.000000000000000000e+00,-9.499999999999999556e-01,3.300749999999999865e-04
-9.000000000000000222e-01,0.000000000000000000e+00,-9.000000000000000222e-01,2.496349000000000246e-04
-8.499999999999999778e-01,0.000000000000000000e+00,-8.499999999999999778e-01,1.768588999999999882e-04
-8.000000000000000444e-01,0.000000000000000000e+00,-8.000000000000000444e-01,1.133296999999999934e-04
-7.500000000000000000e-01,0.000000000000000000e+00,-7.500000000000000000e-01,6.212302000000000275e-05
-6.999999999999999556e-01,0.000000000000000000e+00,-6.999999999999999556e-01,2.720823000000000021e-05
-6.500000000000000222e-01,0.000000000000000000e+00,-6.500000000000000222e-01,9.199913999999999751e-06
-5.999999999999999778e-01,0.000000000000000000e+00,-5.999999999999999778e-01,2.492471000000000111e-06
-5.500000000000000444e-01,0.000000000000000000e+00,-5.500000000000000444e-01,5.712399000000000328e-07
-5.000000000000000000e-01,0.000000000000000000e+00,-5.000000000000000000e-01,1.159321000000000009e-07
-4.500000000000000111e-01,0.000000000000000000e+00,-4.500000000000000111e-01,2.185958000000000032e-08
-4.000000000000000222e-01,0.000000000000000000e+00,-4.000000000000000222e-01,3.971767999999999596e-09
-3.499999999999999778e-01,0.000000000000000000e+00,-3.499999999999999778e-01,7.101508000000000206e-10
-2.999999999999999889e-01,0.000000000000000000e+00,-2.999999999999999889e-01,1.267142999999999953e-10
-2.500000000000000000e-01,0.000000000000000000e+00,-2.500000000000000000e-01,2.321560000000000137e-11
-2.000000000000000111e-01,0.000000000000000000e+00,-2.000000000000000111e-01,4.920589999999999736e-12
-1.499999999999999944e-01,0.000000000000000000e+00,-1.499999999999999944e-01,1.691513000000000044e-12
-1.000000000000000056e-01,0.000000000000000000e+00,-1.000000000000000056e-01,1.121939999999999963e-12
-5.000000000000000278e-02,0.000000000000000000e+00,-5.000000000000000278e-02,1.021501000000000011e-12
3.191890999999999805e-16,0.000000000000000000e+00,3.191890999999999805e-16,1.003791000000000080e-12
