v-sweep,v(eps_s),v(g),vdd#branch
-1.199999999999999956e+00,5.000000000000000104e-03,-1.199999999999999956e+00,8.159921000000000101e-04
-1.149999999999999911e+00,5.000000000000000104e-03,-1.149999999999999911e+00,7.066554999999999972e-04
-1.100000000000000089e+00,5.000000000000000104e-03,-1.100000000000000089e+00,6.022624000000000293e-04
-1.050000000000000044e+00,5.000000000000000104e-03,-1.050000000000000044e+00,5.032707000000000196e-04
-1.000000000000000000e+00,5.000000000000000104e-03,-1.000000000000000000e+00,4.101487999999999922e-04
-9.499999999999999556e-01,5.000000000000000104e-03,-9.499999999999999556e-01,3.233792999999999889e-04
-9.000000000000000222e-01,5.000000000000000104e-03,-9.000000000000000222e-01,2.435166000000000056e-04
-8.499999999999999778e-01,5.000000000000000104e-03,-8.499999999999999778e-01,1.714065999999999930e-04
-8.000000000000000444e-01,5.000000000000000104e-03,-8.000000000000000444e-01,1.087268999999999974e-04
-7.500000000000000000e-01,5.000000000000000104e-03,-7.500000000000000000e-01,5.868471999999999876e-05
-6.999999999999999556e-01,5.000000000000000104e-03,-6.999999999999999556e-01,2.518453000000000128e-05
-6.500000000000000222e-01,5.000000000000000104e-03,-6.500000000000000222e-01,8.348268000000000146e-06
-5.999999999999999778e-01,5.000000000000000104e-03,-5.999999999999999778e-01,2.227724000000000103e-06
-5.500000000000000444e-01,5.000000000000000104e-03,-5.500000000000000444e-01,5.047448000000000001e-07
-5.000000000000000000e-01,5.000000000000000104e-03,-5.000000000000000000e-01,1.016616999999999977e-07
-4.500000000000000111e-01,5.000000000000000104e-03,-4.500000000000000111e-01,1.909078000000000136e-08
-4.000000000000000222e-01,5.000000000000000104e-03,-4.000000000000000222e-01,3.462133999999999948e-09
-3.499999999999999778e-01,5.000000000000000104e-03,-3.499999999999999778e-01,6.186095999999999728e-10
-2.999999999999999889e-01,5.000000000000000104e-03,-2.999999999999999889e-01,1.104464999999999996e-10
-2.500000000000000000e-01,5.000000000000000104e-03,-2.500000000000000000e-01,2.033785999999999994e-11
-2.000000000000000111e-01,5.000000000000000104e-03,-2.000000000000000111e-01,4.412506999999999628e-12
-1.499999999999999944e-01,5.000000000000000104e-03,-1.499999999999999944e-01,1.601881000000000008e-12
-1.000000000000000056e-01,5.000000000000000104e-03,-1.000000000000000056e-01,1.106132999999999968e-12
-5.000000000000000278e-02,5.000000000000000104e-03,-5.000000000000000278e-02,1.018712999999999922e-12
3.191890999999999805e-16,5.000000000000000104e-03,3.191890999999999805e-16,1.003299000000000005e-12
