v-sweep,v(eps_s),v(g),vdd#branch
0.000000000000000000e+00,2.500000000000000052e-03,0.000000000000000000e+00,-1.031379999999999994e-12
5.000000000000000278e-02,2.500000000000000052e-03,5.000000000000000278e-02,-1.085850000000000063e-12
1.000000000000000056e-01,2.500000000000000052e-03,1.000000000000000056e-01,-2.009420000000000136e-12
1.499999999999999944e-01,2.500000000000000052e-03,1.499999999999999944e-01,-6.723690000000000403e-12
2.000000000000000111e-01,2.500000000000000052e-03,2.000000000000000111e-01,-3.344219999999999981e-11
2.500000000000000000e-01,2.500000000000000052e-03,2.500000000000000000e-01,-1.847119999999999925e-10
2.999999999999999889e-01,2.500000000000000052e-03,2.999999999999999889e-01,-1.039019999999999996e-09
3.499999999999999778e-01,2.500000000000000052e-03,3.499999999999999778e-01,-5.835510000000000252e-09
4.000000000000000222e-01,2.500000000000000052e-03,4.000000000000000222e-01,-3.240049999999999952e-08
4.500000000000000111e-01,2.500000000000000052e-03,4.500000000000000111e-01,-1.750790000000000023e-07
5.000000000000000000e-01,2.500000000000000052e-03,5.000000000000000000e-01,-8.936460000000000071e-07
5.500000000000000444e-01,2.500000000000000052e-03,5.500000000000000444e-01,-4.112380000000000088e-06
5.999999999999999778e-01,2.500000000000000052e-03,5.999999999999999778e-01,-1.620320000000000099e-05
6.500000000000000222e-01,2.500000000000000052e-03,6.500000000000000222e-01,-5.182260000000000084e-05
6.999999999999999556e-01,2.500000000000000052e-03,6.999999999999999556e-01,-1.278420000000000001e-04
7.500000000000000000e-01,2.500000000000000052e-03,7.500000000000000000e-01,-2.459669999999999847e-04
8.000000000000000444e-01,2.500000000000000052e-03,8.000000000000000444e-01,-3.944509999999999813e-04
8.499999999999999778e-01,2.500000000000000052e-03,8.499999999999999778e-01,-5.624869999999999697e-04
9.000000000000000222e-01,2.500000000000000052e-03,9.000000000000000222e-01,-7.443979999999999564e-04
9.499999999999999556e-01,2.500000000000000052e-03,9.499999999999999556e-01,-9.375780000000000008e-04
1.000000000000000000e+00,2.500000000000000052e-03,1.000000000000000000e+00,-1.140589999999999920e-03
1.050000000000000044e+00,2.500000000000000052e-03,1.050000000000000044e+00,-1.352349999999999993e-03
1.100000000000000089e+00,2.500000000000000052e-03,1.100000000000000089e+00,-1.571890000000000049e-03
1.149999999999999911e+00,2.500000000000000052e-03,1.149999999999999911e+00,-1.798310000000000013e-03
1.199999999999999956e+00,2.500000000000000052e-03,1.199999999999999956e+00,-2.030769999999999884e-03
