v-sweep,v(eps_s),v(g),vdd#branch
0.000000000000000000e+00,2.500000000000000052e-03,0.000000000000000000e+00,-3.606440000000000130e-12
5.000000000000000278e-02,2.500000000000000052e-03,5.000000000000000278e-02,-1.477699999999999974e-11
1.000000000000000056e-01,2.500000000000000052e-03,1.000000000000000056e-01,-7.394980000000000141e-11
1.499999999999999944e-01,2.500000000000000052e-03,1.499999999999999944e-01,-3.867660000000000166e-10
2.000000000000000111e-01,2.500000000000000052e-03,2.000000000000000111e-01,-2.032880000000000119e-09
2.500000000000000000e-01,2.500000000000000052e-03,2.500000000000000000e-01,-1.060609999999999959e-08
2.999999999999999889e-01,2.500000000000000052e-03,2.999999999999999889e-01,-5.426799999999999996e-08
3.499999999999999778e-01,2.500000000000000052e-03,3.499999999999999778e-01,-2.668119999999999939e-07
4.000000000000000222e-01,2.500000000000000052e-03,4.000000000000000222e-01,-1.223600000000000025e-06
4.500000000000000111e-01,2.500000000000000052e-03,4.500000000000000111e-01,-5.085070000000000257e-06
5.000000000000000000e-01,2.500000000000000052e-03,5.000000000000000000e-01,-1.841049999999999932e-05
5.500000000000000444e-01,2.500000000000000052e-03,5.500000000000000444e-01,-5.334509999999999854e-05
5.999999999999999778e-01,2.500000000000000052e-03,5.999999999999999778e-01,-1.179720000000000015e-04
6.500000000000000222e-01,2.500000000000000052e-03,6.500000000000000222e-01,-2.084569999999999999e-04
6.999999999999999556e-01,2.500000000000000052e-03,6.999999999999999556e-01,-3.165460000000000149e-04
7.500000000000000000e-01,2.500000000000000052e-03,7.500000000000000000e-01,-4.364530000000000037e-04
8.000000000000000444e-01,2.500000000000000052e-03,8.000000000000000444e-01,-5.652329999999999464e-04
8.499999999999999778e-01,2.500000000000000052e-03,8.499999999999999778e-01,-7.014010000000000427e-04
9.000000000000000222e-01,2.500000000000000052e-03,9.000000000000000222e-01,-8.440290000000000466e-04
9.499999999999999556e-01,2.500000000000000052e-03,9.499999999999999556e-01,-9.923829999999998937e-04
1.000000000000000000e+00,2.500000000000000052e-03,1.000000000000000000e+00,-1.145809999999999928e-03
1.050000000000000044e+00,2.500000000000000052e-03,1.050000000000000044e+00,-1.303700000000000084e-03
1.100000000000000089e+00,2.500000000000000052e-03,1.100000000000000089e+00,-1.465500000000000006e-03
1.149999999999999911e+00,2.500000000000000052e-03,1.149999999999999911e+00,-1.630719999999999999e-03
1.199999999999999956e+00,2.500000000000000052e-03,1.199999999999999956e+00,-1.798909999999999919e-03
