v-sweep,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,-2.514120000000000113e-04
9.817476999999999454e-02,5.000000000000000104e-03,9.817476999999999454e-02,-2.512580000000000260e-04
1.963495000000000101e-01,5.000000000000000104e-03,1.963495000000000101e-01,-2.508009999999999862e-04
2.945243000000000166e-01,5.000000000000000104e-03,2.945243000000000166e-01,-2.500590000000000126e-04
3.926991000000000231e-01,5.000000000000000104e-03,3.926991000000000231e-01,-2.490619999999999813e-04
4.908738999999999741e-01,5.000000000000000104e-03,4.908738999999999741e-01,-2.478499999999999800e-04
5.890486000000000333e-01,5.000000000000000104e-03,5.890486000000000333e-01,-2.464689999999999741e-04
6.872234000000000398e-01,5.000000000000000104e-03,6.872234000000000398e-01,-2.449749999999999779e-04
7.853982000000000463e-01,5.000000000000000104e-03,7.853982000000000463e-01,-2.434249999999999945e-04
8.835728999999999944e-01,5.000000000000000104e-03,8.835728999999999944e-01,-2.418780000000000040e-04
9.817477000000000009e-01,5.000000000000000104e-03,9.817477000000000009e-01,-2.403949999999999913e-04
1.079922000000000049e+00,5.000000000000000104e-03,1.079922000000000049e+00,-2.390319999999999977e-04
1.178096999999999950e+00,5.000000000000000104e-03,1.178096999999999950e+00,-2.378400000000000132e-04
1.276272000000000073e+00,5.000000000000000104e-03,1.276272000000000073e+00,-2.368629999999999987e-04
1.374446999999999974e+00,5.000000000000000104e-03,1.374446999999999974e+00,-2.361379999999999946e-04
1.472622000000000098e+00,5.000000000000000104e-03,1.472622000000000098e+00,-2.356919999999999924e-04
1.570796000000000081e+00,5.000000000000000104e-03,1.570796000000000081e+00,-2.355419999999999888e-04
