v-sweep,v(g),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,-1.029280000000000033e-12
5.000000000000000278e-02,5.000000000000000278e-02,-1.080090000000000096e-12
1.000000000000000056e-01,1.000000000000000056e-01,-1.941730000000000048e-12
1.499999999999999944e-01,1.499999999999999944e-01,-6.339919999999999909e-12
2.000000000000000111e-01,2.000000000000000111e-01,-3.126760000000000300e-11
2.500000000000000000e-01,2.500000000000000000e-01,-1.724080000000000110e-10
2.999999999999999889e-01,2.999999999999999889e-01,-9.696190000000001028e-10
3.499999999999999778e-01,3.499999999999999778e-01,-5.447089999999999643e-09
4.000000000000000222e-01,4.000000000000000222e-01,-3.026480000000000244e-08
4.500000000000000111e-01,4.500000000000000111e-01,-1.637909999999999875e-07
5.000000000000000000e-01,5.000000000000000000e-01,-8.386090000000000417e-07
5.500000000000000444e-01,5.500000000000000444e-01,-3.879070000000000284e-06
5.999999999999999778e-01,5.999999999999999778e-01,-1.539380000000000159e-05
6.500000000000000222e-01,6.500000000000000222e-01,-4.970419999999999754e-05
6.999999999999999556e-01,6.999999999999999556e-01,-1.239389999999999936e-04
7.500000000000000000e-01,7.500000000000000000e-01,-2.405700000000000091e-04
8.000000000000000444e-01,8.000000000000000444e-01,-3.880819999999999886e-04
8.499999999999999778e-01,8.499999999999999778e-01,-5.554750000000000442e-04
9.000000000000000222e-01,9.000000000000000222e-01,-7.368929999999999664e-04
9.499999999999999556e-01,9.499999999999999556e-01,-9.296540000000000272e-04
1.000000000000000000e+00,1.000000000000000000e+00,-1.132289999999999989e-03
1.050000000000000044e+00,1.050000000000000044e+00,-1.343730000000000011e-03
1.100000000000000089e+00,1.100000000000000089e+00,-1.562969999999999898e-03
1.149999999999999911e+00,1.149999999999999911e+00,-1.789130000000000104e-03
1.199999999999999956e+00,1.199999999999999956e+00,-2.021370000000000198e-03
