dc,v(eps_s),v(alpha),i(Vdd)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.079999999999999561e-05
6.250000000000000130e-04,6.250000000000000130e-04,0.000000000000000000e+00,-4.079999999999999561e-05
1.250000000000000026e-03,1.250000000000000026e-03,0.000000000000000000e+00,-4.079999999999999561e-05
1.874999999999999931e-03,1.874999999999999931e-03,0.000000000000000000e+00,-4.079999999999999561e-05
2.500000000000000052e-03,2.500000000000000052e-03,0.000000000000000000e+00,-4.079999999999999561e-05
3.125000000000000173e-03,3.125000000000000173e-03,0.000000000000000000e+00,-4.079999999999999561e-05
3.749999999999999861e-03,3.749999999999999861e-03,0.000000000000000000e+00,-4.079999999999999561e-05
4.375000000000000416e-03,4.375000000000000416e-03,0.000000000000000000e+00,-4.079999999999999561e-05
5.000000000000000104e-03,5.000000000000000104e-03,0.000000000000000000e+00,-4.079999999999999561e-05
