time,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000048e-04,4.999999999999999774e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.055957999999999962e-04,5.279788000000000347e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.167872999999999991e-04,5.839364999999999826e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.391704000000000118e-04,6.958518000000000450e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.839365000000000032e-04,9.196823999999999582e-07,0.000000000000000000e+00,-2.405700000000000091e-04
2.734686999999999860e-04,1.367343999999999965e-06,0.000000000000000000e+00,-2.405700000000000091e-04
4.382580000000000178e-04,2.191289999999999818e-06,0.000000000000000000e+00,-2.405689999999999933e-04
6.601985999999999575e-04,3.300992999999999838e-06,0.000000000000000000e+00,-2.405680000000000047e-04
1.009102999999999910e-03,5.045517000000000061e-06,0.000000000000000000e+00,-2.405660000000000003e-04
1.506734000000000025e-03,7.533671000000000227e-06,0.000000000000000000e+00,-2.405599999999999872e-04
2.271288000000000213e-03,1.135643999999999964e-05,0.000000000000000000e+00,-2.405479999999999880e-04
3.388958999999999982e-03,1.694480000000000080e-05,0.000000000000000000e+00,-2.405189999999999921e-04
5.073730999999999727e-03,2.536864999999999978e-05,0.000000000000000000e+00,-2.404539999999999987e-04
7.544516999999999717e-03,3.772259000000000300e-05,0.000000000000000000e+00,-2.403069999999999881e-04
1.119651999999999974e-02,5.598262000000000306e-05,0.000000000000000000e+00,-2.399690000000000059e-04
1.647266000000000008e-02,8.236331000000000544e-05,0.000000000000000000e+00,-2.391869999999999988e-04
2.400346999999999897e-02,1.200172999999999935e-04,0.000000000000000000e+00,-2.373529999999999889e-04
3.400347000000000092e-02,1.700173000000000027e-04,0.000000000000000000e+00,-2.329459999999999886e-04
4.400347000000000286e-02,2.200172999999999983e-04,0.000000000000000000e+00,-2.224270000000000034e-04
5.400346999999999786e-02,2.700172999999999940e-04,0.000000000000000000e+00,-2.023039999999999929e-04
6.400347000000000675e-02,3.200173000000000167e-04,0.000000000000000000e+00,-1.694680000000000112e-04
7.400347000000000175e-02,3.700172999999999852e-04,0.000000000000000000e+00,-1.202160000000000023e-04
8.400346999999999675e-02,4.200173000000000079e-04,0.000000000000000000e+00,-5.920489999999999960e-05
9.400347000000000564e-02,4.700172999999999764e-04,0.000000000000000000e+00,-1.259120000000000067e-05
1.040034999999999987e-01,5.200172999999999992e-04,0.000000000000000000e+00,-4.633320000000000093e-07
1.140034999999999937e-01,5.700173000000000219e-04,0.000000000000000000e+00,-8.675509999999999751e-10
1.240035000000000026e-01,6.200173000000000446e-04,0.000000000000000000e+00,-1.093650000000000091e-12
1.340034999999999976e-01,6.700172999999999589e-04,0.000000000000000000e+00,-1.139519999999999975e-12
1.440035000000000065e-01,7.200172999999999816e-04,0.000000000000000000e+00,-1.216299999999999977e-12
1.540034999999999876e-01,7.700173000000000044e-04,0.000000000000000000e+00,-1.376799999999999950e-12
1.640034999999999965e-01,8.200173000000000271e-04,0.000000000000000000e+00,-1.611739999999999956e-12
1.740035000000000054e-01,8.700173000000000498e-04,0.000000000000000000e+00,-2.035860000000000172e-12
1.840034999999999865e-01,9.200172999999999641e-04,0.000000000000000000e+00,-2.710169999999999952e-12
1.940034999999999954e-01,9.700172999999999868e-04,0.000000000000000000e+00,-3.866580000000000272e-12
2.040035000000000043e-01,1.020017000000000016e-03,0.000000000000000000e+00,-5.761369999999999714e-12
2.140035000000000132e-01,1.070016999999999930e-03,0.000000000000000000e+00,-8.951900000000000256e-12
2.240034999999999943e-01,1.120017000000000061e-03,0.000000000000000000e+00,-1.423689999999999965e-11
2.340035000000000032e-01,1.170016999999999975e-03,0.000000000000000000e+00,-2.307779999999999927e-11
2.440035000000000120e-01,1.220017000000000107e-03,0.000000000000000000e+00,-3.777999999999999775e-11
2.540034999999999932e-01,1.270017000000000021e-03,0.000000000000000000e+00,-6.231629999999999449e-11
2.640035000000000021e-01,1.320016999999999935e-03,0.000000000000000000e+00,-1.031779999999999952e-10
2.740035000000000109e-01,1.370017000000000066e-03,0.000000000000000000e+00,-1.713119999999999922e-10
2.840035000000000198e-01,1.420016999999999981e-03,0.000000000000000000e+00,-2.848380000000000042e-10
2.940034999999999732e-01,1.470016999999999895e-03,0.000000000000000000e+00,-4.740789999999999714e-10
3.040034999999999821e-01,1.520017000000000026e-03,0.000000000000000000e+00,-7.894489999999999898e-10
3.140034999999999910e-01,1.570016999999999940e-03,0.000000000000000000e+00,-1.315099999999999936e-09
3.240034999999999998e-01,1.620017000000000072e-03,0.000000000000000000e+00,-2.191149999999999821e-09
3.340035000000000087e-01,1.670016999999999986e-03,0.000000000000000000e+00,-3.651260000000000066e-09
3.440035000000000176e-01,1.720016999999999900e-03,0.000000000000000000e+00,-6.084750000000000107e-09
3.540035000000000265e-01,1.770017000000000031e-03,0.000000000000000000e+00,-1.014059999999999950e-08
3.640034999999999799e-01,1.820016999999999946e-03,0.000000000000000000e+00,-1.690029999999999881e-08
3.740034999999999887e-01,1.870017000000000077e-03,0.000000000000000000e+00,-2.816649999999999946e-08
3.840034999999999976e-01,1.920016999999999991e-03,0.000000000000000000e+00,-4.694359999999999824e-08
3.940035000000000065e-01,1.970017000000000122e-03,0.000000000000000000e+00,-7.823859999999999491e-08
