v-sweep,v(eps_s),v(g),vdd#branch
-1.199999999999999956e+00,5.000000000000000104e-03,-1.199999999999999956e+00,7.150973000000000355e-04
-1.149999999999999911e+00,5.000000000000000104e-03,-1.149999999999999911e+00,6.372161999999999792e-04
-1.100000000000000089e+00,5.000000000000000104e-03,-1.100000000000000089e+00,5.617750000000000347e-04
-1.050000000000000044e+00,5.000000000000000104e-03,-1.050000000000000044e+00,4.890517999999999515e-04
-1.000000000000000000e+00,5.000000000000000104e-03,-1.000000000000000000e+00,4.193434000000000007e-04
-9.499999999999999556e-01,5.000000000000000104e-03,-9.499999999999999556e-01,3.529636999999999965e-04
-9.000000000000000222e-01,5.000000000000000104e-03,-9.000000000000000222e-01,2.902421999999999771e-04
-8.499999999999999778e-01,5.000000000000000104e-03,-8.499999999999999778e-01,2.315291999999999990e-04
-8.000000000000000444e-01,5.000000000000000104e-03,-8.000000000000000444e-01,1.772241000000000029e-04
-7.500000000000000000e-01,5.000000000000000104e-03,-7.500000000000000000e-01,1.278735000000000082e-04
-6.999999999999999556e-01,5.000000000000000104e-03,-6.999999999999999556e-01,8.441393000000000377e-05
-6.500000000000000222e-01,5.000000000000000104e-03,-6.500000000000000222e-01,4.855213000000000096e-05
-5.999999999999999778e-01,5.000000000000000104e-03,-5.999999999999999778e-01,2.271799000000000100e-05
-5.500000000000000444e-01,5.000000000000000104e-03,-5.500000000000000444e-01,8.173305000000000514e-06
-5.000000000000000000e-01,5.000000000000000104e-03,-5.000000000000000000e-01,2.322613000000000153e-06
-4.500000000000000111e-01,5.000000000000000104e-03,-4.500000000000000111e-01,5.716438000000000223e-07
-4.000000000000000222e-01,5.000000000000000104e-03,-4.000000000000000222e-01,1.277340999999999897e-07
-3.499999999999999778e-01,5.000000000000000104e-03,-3.499999999999999778e-01,2.645945999999999995e-08
-2.999999999999999889e-01,5.000000000000000104e-03,-2.999999999999999889e-01,5.224669000000000004e-09
-2.500000000000000000e-01,5.000000000000000104e-03,-2.500000000000000000e-01,1.006794000000000029e-09
-2.000000000000000111e-01,5.000000000000000104e-03,-2.000000000000000111e-01,1.923924000000000097e-10
-1.499999999999999944e-01,5.000000000000000104e-03,-1.499999999999999944e-01,3.723330000000000211e-11
-1.000000000000000056e-01,5.000000000000000104e-03,-1.000000000000000056e-01,7.849975000000000789e-12
-5.000000000000000278e-02,5.000000000000000104e-03,-5.000000000000000278e-02,2.300253999999999904e-12
3.191890999999999805e-16,5.000000000000000104e-03,3.191890999999999805e-16,1.253277999999999943e-12
