v-sweep,v(eps_s),v(g),vdd#branch
-1.199999999999999956e+00,0.000000000000000000e+00,-1.199999999999999956e+00,7.214253000000000332e-04
-1.149999999999999911e+00,0.000000000000000000e+00,-1.149999999999999911e+00,6.433605000000000010e-04
-1.100000000000000089e+00,0.000000000000000000e+00,-1.100000000000000089e+00,5.677141000000000132e-04
-1.050000000000000044e+00,0.000000000000000000e+00,-1.050000000000000044e+00,4.947627999999999922e-04
-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,4.248019000000000231e-04
-9.499999999999999556e-01,0.000000000000000000e+00,-9.499999999999999556e-01,3.581438999999999847e-04
-9.000000000000000222e-01,0.000000000000000000e+00,-9.000000000000000222e-01,2.951173000000000077e-04
-8.499999999999999778e-01,0.000000000000000000e+00,-8.499999999999999778e-01,2.360699000000000011e-04
-8.000000000000000444e-01,0.000000000000000000e+00,-8.000000000000000444e-01,1.813949999999999937e-04
-7.500000000000000000e-01,0.000000000000000000e+00,-7.500000000000000000e-01,1.316210000000000058e-04
-6.999999999999999556e-01,0.000000000000000000e+00,-6.999999999999999556e-01,8.763987999999999954e-05
-6.500000000000000222e-01,0.000000000000000000e+00,-6.500000000000000222e-01,5.108519000000000276e-05
-5.999999999999999778e-01,0.000000000000000000e+00,-5.999999999999999778e-01,2.436569999999999950e-05
-5.500000000000000444e-01,0.000000000000000000e+00,-5.500000000000000444e-01,8.956805000000000720e-06
-5.000000000000000000e-01,0.000000000000000000e+00,-5.000000000000000000e-01,2.585065000000000126e-06
-4.500000000000000111e-01,0.000000000000000000e+00,-4.500000000000000111e-01,6.419340999999999751e-07
-4.000000000000000222e-01,0.000000000000000000e+00,-4.000000000000000222e-01,1.444539000000000121e-07
-3.499999999999999778e-01,0.000000000000000000e+00,-3.499999999999999778e-01,3.007504999999999904e-08
-2.999999999999999889e-01,0.000000000000000000e+00,-2.999999999999999889e-01,5.955519000000000225e-09
-2.500000000000000000e-01,0.000000000000000000e+00,-2.500000000000000000e-01,1.149122000000000077e-09
-2.000000000000000111e-01,0.000000000000000000e+00,-2.000000000000000111e-01,2.196149999999999959e-10
-1.499999999999999944e-01,0.000000000000000000e+00,-1.499999999999999944e-01,4.239754999999999800e-11
-1.000000000000000056e-01,0.000000000000000000e+00,-1.000000000000000056e-01,8.826107000000000128e-12
-5.000000000000000278e-02,0.000000000000000000e+00,-5.000000000000000278e-02,2.484465999999999927e-12
3.191890999999999805e-16,0.000000000000000000e+00,3.191890999999999805e-16,1.288017000000000084e-12
