v-sweep,v(eps_s),v(g),vdd#branch
-1.199999999999999956e+00,2.500000000000000052e-03,-1.199999999999999956e+00,7.182596000000000510e-04
-1.149999999999999911e+00,2.500000000000000052e-03,-1.149999999999999911e+00,6.402864000000000298e-04
-1.100000000000000089e+00,2.500000000000000052e-03,-1.100000000000000089e+00,5.647424000000000497e-04
-1.050000000000000044e+00,2.500000000000000052e-03,-1.050000000000000044e+00,4.919049000000000208e-04
-1.000000000000000000e+00,2.500000000000000052e-03,-1.000000000000000000e+00,4.220699999999999756e-04
-9.499999999999999556e-01,2.500000000000000052e-03,-9.499999999999999556e-01,3.555508999999999775e-04
-9.000000000000000222e-01,2.500000000000000052e-03,-9.000000000000000222e-01,2.926766000000000025e-04
-8.499999999999999778e-01,2.500000000000000052e-03,-8.499999999999999778e-01,2.337960999999999891e-04
-8.000000000000000444e-01,2.500000000000000052e-03,-8.000000000000000444e-01,1.793056000000000066e-04
-7.500000000000000000e-01,2.500000000000000052e-03,-7.500000000000000000e-01,1.297426000000000070e-04
-6.999999999999999556e-01,2.500000000000000052e-03,-6.999999999999999556e-01,8.602096000000000590e-05
-6.500000000000000222e-01,2.500000000000000052e-03,-6.500000000000000222e-01,4.981066999999999857e-05
-5.999999999999999778e-01,2.500000000000000052e-03,-5.999999999999999778e-01,2.353249000000000142e-05
-5.500000000000000444e-01,2.500000000000000052e-03,-5.500000000000000444e-01,8.557783999999999175e-06
-5.000000000000000000e-01,2.500000000000000052e-03,-5.000000000000000000e-01,2.450603000000000176e-06
-4.500000000000000111e-01,2.500000000000000052e-03,-4.500000000000000111e-01,6.058167000000000014e-07
-4.000000000000000222e-01,2.500000000000000052e-03,-4.000000000000000222e-01,1.358454999999999971e-07
-3.499999999999999778e-01,2.500000000000000052e-03,-3.499999999999999778e-01,2.821047999999999997e-08
-2.999999999999999889e-01,2.500000000000000052e-03,-2.999999999999999889e-01,5.578246999999999711e-09
-2.500000000000000000e-01,2.500000000000000052e-03,-2.500000000000000000e-01,1.075614000000000004e-09
-2.000000000000000111e-01,2.500000000000000052e-03,-2.000000000000000111e-01,2.055521000000000010e-10
-1.499999999999999944e-01,2.500000000000000052e-03,-1.499999999999999944e-01,3.972949999999999707e-11
-1.000000000000000056e-01,2.500000000000000052e-03,-1.000000000000000056e-01,8.321775000000000455e-12
-5.000000000000000278e-02,2.500000000000000052e-03,-5.000000000000000278e-02,2.389289000000000039e-12
3.191890999999999805e-16,2.500000000000000052e-03,3.191890999999999805e-16,1.270067999999999915e-12
