v-sweep,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.316210000000000058e-04
5.000000000000000104e-04,5.000000000000000104e-04,0.000000000000000000e+00,1.312444000000000067e-04
1.000000000000000021e-03,1.000000000000000021e-03,0.000000000000000000e+00,1.308685000000000024e-04
1.500000000000000031e-03,1.500000000000000031e-03,0.000000000000000000e+00,1.304928999999999920e-04
2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.301176000000000025e-04
2.500000000000000052e-03,2.500000000000000052e-03,0.000000000000000000e+00,1.297426000000000070e-04
3.000000000000000062e-03,3.000000000000000062e-03,0.000000000000000000e+00,1.293680999999999922e-04
3.500000000000000073e-03,3.500000000000000073e-03,0.000000000000000000e+00,1.289938999999999984e-04
4.000000000000000083e-03,4.000000000000000083e-03,0.000000000000000000e+00,1.286199999999999984e-04
4.499999999999999660e-03,4.499999999999999660e-03,0.000000000000000000e+00,1.282466000000000064e-04
5.000000000000000104e-03,5.000000000000000104e-03,0.000000000000000000e+00,1.278735000000000082e-04
